Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
ABYA3;"4,91";"-214,80";"1,76";"2,055";"0,00%";"0,527";"1,98";"19,96";"-2,75";"33,67";"33,67";"10,29%";"-0,96%";"2,09";"2,78%";"-0,82%";"0,00";"292.060.000,00";"1,31";"16,41%"
PITI4;"1,28";"-204,74";"0,00";"0,000";"0,00%";"0,000";"0,00";"-2.637,65";"0,00";"-2.637,65";"111,07";"0,00%";"0,00%";"0,00";"0,00%";"0,00%";"0,00";"0,00";"0,00";"-29,63%"
BIOM4;"8,68";"-177,64";"3,79";"4,411";"0,00%";"2,266";"7,67";"225,79";"16,89";"235,94";"235,94";"1,95%";"-2,48%";"2,23";"1,27%";"-2,13%";"0,00";"313.508.000,00";"0,31";"24,02%"
BIOM3;"7,51";"-153,70";"3,28";"3,816";"0,00%";"1,961";"6,64";"195,35";"14,61";"205,51";"205,51";"1,95%";"-2,48%";"2,23";"1,27%";"-2,13%";"557.462,00";"313.508.000,00";"0,31";"24,02%"
LCSA3;"12,50";"-120,23";"-81,22";"28,405";"0,00%";"44,638";"-72,05";"-180,18";"-34,41";"-180,95";"-180,95";"-15,77%";"-23,63%";"0,29";"-28,74%";"67,55%";"0,00";"-377.568.000,00";"-0,35";"6.354,07%"
MAGG3;"59,40";"-119,98";"1,32";"0,684";"0,00%";"0,440";"9,32";"4,07";"-1,55";"6,41";"5,34";"16,82%";"-0,57%";"1,14";"14,05%";"-1,10%";"0,00";"2.246.130.000,00";"1,03";"9,27%"
SQIA3;"27,37";"-110,33";"3,70";"3,592";"0,00%";"1,490";"25,87";"62,33";"-3,84";"67,32";"18,50";"5,76%";"-2,88%";"1,43";"2,81%";"-3,35%";"0,00";"650.717.000,00";"0,65";"46,32%"
DOTZ3;"3,78";"-107,37";"-0,20";"0,218";"0,00%";"0,244";"-0,29";"1,34";"-0,14";"3,28";"1,90";"16,29%";"-0,20%";"0,35";"30,33%";"0,19%";"69.741,20";"-246.890.000,00";"-0,45";"14,48%"
DTCY3;"2,64";"-96,98";"30,90";"3,695";"0,00%";"4,203";"14,42";"-135,42";"-189,59";"-114,99";"41,45";"-2,73%";"-3,81%";"1,53";"-8,89%";"-31,86%";"608,29";"951.000,00";"0,00";"-8,37%"
PRNR3;"19,86";"-95,38";"2,33";"0,720";"0,21%";"0,596";"4,13";"11,78";"-2,34";"16,86";"8,74";"6,12%";"0,54%";"1,48";"6,49%";"-2,45%";"11.592.600,00";"482.834.000,00";"1,74";"33,24%"
LINX3;"37,40";"-90,95";"4,38";"7,885";"1,52%";"2,745";"11,96";"53,17";"47,06";"51,49";"22,97";"14,83%";"-8,67%";"2,14";"6,82%";"-4,81%";"0,00";"1.619.010.000,00";"0,22";"15,54%"
BNCA3;"70,30";"-90,30";"2,45";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"-2,72%";"0,00";"3.068.150.000,00";"0,00";"2,41%"
AMIL3;"32,20";"-73,28";"7,70";"1,129";"0,00%";"2,003";"-16,95";"136,58";"-5,43";"138,61";"50,13";"0,83%";"-1,53%";"0,75";"2,22%";"-10,51%";"0,00";"1.532.980.000,00";"1,24";"28,47%"
AURA33;"152,70";"-72,21";"22,68";"6,487";"0,81%";"3,746";"-437,80";"12,38";"-7,26";"12,63";"12,63";"52,42%";"-8,98%";"0,97";"42,98%";"-31,41%";"148.410.000,00";"1.462.190.000,00";"1,55";"21,82%"
BRTP3;"35,71";"-67,26";"2,45";"1,168";"0,00%";"0,684";"8,98";"6,03";"-2,40";"7,55";"7,55";"19,37%";"-2,96%";"1,29";"13,41%";"-3,64%";"0,00";"5.302.340.000,00";"0,91";"3,66%"
